gen 0 64 1093750000002122.6 3121091305536471.0 1043.6853650281992 1e+16 
gen 1 3944 1151.4477679839388 90.67217926476204 955.8380569438763 1281.1862024685577 
gen 2 8124 964.2568058967391 45.12427196717475 808.6527510647709 1023.6954478214005 
gen 3 12194 884.3526203498211 26.202467796917475 796.3484799566189 917.6898654685492 
gen 4 16264 859.3674857903122 24.637464093312833 782.2261532093452 886.2340058093176 
gen 5 20174 838.9727838730269 19.914617853555164 782.2261532093452 863.148806915492 
gen 6 23974 820.2469645790347 19.032591466159932 767.7754214073758 842.219059044719 
gen 7 27594 803.3294898004556 16.65873259393372 742.9333705107556 827.3635445064901 
gen 8 31494 785.2085570200561 13.319221338897957 742.9333705107556 802.1746662030596 
gen 9 35544 761.3490592812802 8.535161127506326 736.8467748092046 771.4513517851398 
gen 10 39714 744.6143787578987 4.641828287732024 729.4353499468339 751.2022336646941 
gen 11 43614 730.1019019633162 3.300832443359654 718.2774757141176 732.879974813193 
gen 12 47534 719.7777579617791 3.5679261799087163 704.1992766665253 723.2877931107046 
[1, 0, 5, 7, 4, 6, 2, 3, 0, 5, 7, 1, 4, 6, 3, 2, 6, 3, 2, 7, 0, 5, 1, 4, 6, 2, 5, 0, 3, 1, 7, 4, 6, 3, 2, 1, 0, 4, 5, 7, 1, 0, 3, 2, 5, 7, 6, 4, 1, 3, 2, 6, 0, 5, 7, 4, 6, 3, 1, 2, 0, 5, 7, 4]
min  704.1992766665253
NFE 47534
LSNFE 32110
VLSNFE 8252
runTime 54.923988342285156
